keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'+heat wave',en,Hazard,#ff0000,#ff0000,3,0.0908295731791807
'+heat drink',en,Mitigation,#00ff00,#00ff00,3,0.0868002922724768
'+warm spell',en,Hazard,#ff0000,#ff0000,3,0.0819892206166419
'+heat stroke',en,Impacts,#ffff00,#ffff00,3,0.0729421477156282
'+heat climate change',en,Causes,#00ffff,#00ffff,3,0.0714719978841482
'+heat air condition',en,Adaptation,#0000ff,#0000ff,3,0.06568206790346291
