week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-39,-0.18105871972921003,1.0,-1.6178307145952062,1.0,1.0
2025-40,0.13625656187580107,0.7776913496937704,-0.06912606862947925,0.9842823161696276,19.0
2025-41,-0.052753638113281584,0.8140117924315088,0.23699987539895112,0.825313786311731,85.0
2025-42,0.0021863411239755343,0.9578672870293469,0.06873457200515368,0.8514460312151166,72.0
2025-43,0.023447446237775133,0.873981894697925,0.015593263569921844,0.832266659612193,94.0
2025-44,0.11012979487364226,0.7541485912214545,0.12046209392203056,0.8666509303849779,131.0
2025-45,-0.12706608291401383,0.7803879620724137,-0.09029809334602934,0.7756154238762192,41.0
2025-46,-0.015930257600444253,0.6269933394036246,0.33868235625340837,0.4878786515799774,10.0
2025-47,-0.0018374187758132487,0.9115789450221788,0.2745174238361563,0.801764949442004,21.0
2025-48,0.18582591050777802,0.5802731725551851,-0.0065875170231477825,0.9147784375767565,28.0
2025-49,0.0025024266963713823,1.1151003377297783,0.31136702127417204,0.675250079401821,29.0
2025-50,0.3480318736122372,0.7924980826551185,0.16076225865989735,0.8862947022189905,40.0
2025-51,-0.003489955357638807,0.869846527987989,0.033922014231903774,0.7702945463036162,37.0
2025-52,0.0017965382467455076,0.7495234182560987,-0.007576618084821425,0.6625727528751014,18.0
2026-00,0.2888333550884436,0.7900589507706449,-0.1913365368607111,0.7755667412029057,9.0
2026-01,0.01381976563826175,0.785652476294097,0.33839547005795867,0.7303008405330509,58.0
2026-02,0.002603307114241725,0.8531704531231205,0.06583877083198657,0.959614877660765,41.0
2026-03,0.0019209916726156027,0.7821021373313987,-0.04242638941306248,0.925510467455073,65.0
2026-04,-0.030142059910002895,0.8872111148828438,-0.13314242486679934,0.794381998094035,66.0
2026-05,-0.2835755498393398,0.8535165556507021,0.2550381327601471,0.7813095432965201,42.0
2026-06,-0.001108405063281825,0.8296107401740782,-0.13062150807776451,1.058960306952823,36.0
2026-07,0.09905944400926839,0.5728109535383699,0.09597710054785068,0.6803961075972603,22.0
