,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Maharashtra,Maharashtra,GPE,0.11180427,0.25720470,en,9.80000000,4037057-4,1264418,X,19.50000000,75.00000000,ASIA,India,SAS
Antarctica,Antarctica,LOC,0.15029072,0.95951396,en,9.80000000,,-1,,,,,,
Greece,Greece,GPE,-0.00453954,0.60189657,en,9.60000000,4022047-3,390903,X,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Paraguay,Paraguay,GPE,-0.23031915,0.77065603,en,9.40000000,4044601-3,3437598,X,-22.99333000,-57.99638900,SOUTH-AMERICA,Paraguay,SES
U.K.,U.K.,GPE,0.11147787,0.48530544,en,9.00000000,,-1,,,,,,
Romania,Romania,GPE,0.01154321,0.37611111,en,9.00000000,4288396-9,4560808,X,39.79341900,-79.04474900,NORTH-AMERICA,United States,ENA
New South Wales,New South Wales,GPE,0.07477904,0.56344697,en,8.80000000,,-1,,,,,,
El Nino,El Nino,GPE,0.02283632,0.73169766,en,8.80000000,,-1,,,,,,
Tokyo,Tokyo,GPE,-0.08553792,0.25683422,en,8.40000000,4078337-6,1850147,X,35.68950000,139.69171000,ASIA,Japan,EAS
Türkiye,Türkiye,GPE,0.04216607,0.55477321,en,8.30000000,4061163-2,298795,X,39.05901000,34.91154900,EUROPE-AFRICA,Turkey,MED
Washington,Washington,GPE,-0.04651463,0.67198078,en,8.30000000,4118995-4,5815135,X,47.50012000,-120.50146900,NORTH-AMERICA,United States,WNA
Manitoba,Manitoba,GPE,0.27026713,0.69672861,en,8.20000000,4100106-0,6065171,X,55.90000000,-97.89999900,NORTH-AMERICA,Canada,NEN
Belgium,Belgium,GPE,-0.06782407,0.41817130,en,8.00000000,4005406-8,2802361,X,50.83332900,4.00000000,EUROPE,Belgium,WCE
WASHINGTON,WASHINGTON,GPE,0.13437027,1.02432449,en,8.00000000,,-1,,,,,,
Atlantic,Atlantic,LOC,-0.00723967,0.83492611,en,7.90000000,,-1,,,,,,
Philadelphia,Philadelphia,GPE,-0.15523416,0.78139840,en,7.70000000,,-1,,,,,,
South,South,LOC,-0.01443687,0.79489562,en,7.50000000,,-1,,,,,,
the Pacific Ocean,the Pacific Ocean,LOC,0.29834299,1.25434363,en,7.40000000,,-1,,,,,,
Austria,Austria,GPE,0.01998362,0.33421717,en,7.40000000,,-1,,,,,,
The United Kingdom,The United Kingdom,GPE,-0.00856164,0.13698630,en,7.30000000,,-1,,,,,,
El Niño,El Niño,GPE,0.21604252,1.13697148,en,7.30000000,,-1,,,,,,
Toronto,Toronto,GPE,0.05785714,0.52880952,en,7.00000000,4060459-7,6167865,X,43.70011000,-79.41630000,NORTH-AMERICA,Canada,ENA
Asia,Asia,LOC,0.00450311,0.62272257,en,6.90000000,,-1,,,,,,
the United Kingdom,the United Kingdom,GPE,-0.10512736,0.74538867,en,6.90000000,,-1,,,,,,
Colorado,Colorado,GPE,0.26934789,0.96611334,en,6.80000000,,-1,,,,,,
Phoenix,Phoenix,GPE,0.28845357,0.57462687,en,6.70000000,,-1,,,,,,
Basel,Basel,GPE,0.00000000,0.00000000,en,6.60000000,4004617-5,2661602,X,47.54999900,7.58333000,EUROPE,Switzerland,WCE
Uttar Pradesh,Uttar Pradesh,GPE,0.13546832,0.43577824,en,6.60000000,,-1,,,,,,
Danube,Danube,GPE,-0.01242074,0.32630635,en,6.60000000,,-1,,,,,,
East,East,LOC,0.01529356,0.45757576,en,6.60000000,,-1,,,,,,
Pacific Ocean,Pacific Ocean,LOC,0.39414554,0.84745413,en,6.30000000,,-1,,,,,,
Pune,Pune,GPE,0.25185185,0.65489418,en,6.30000000,16035299-X,1259229,X,18.51944400,73.85527700,ASIA,India,SAS
Miami,Miami,GPE,0.06912559,0.60269632,en,6.20000000,,-1,,,,,,
San Diego County,San Diego County,GPE,-0.02677596,0.52950820,en,6.10000000,,-1,,,,,,
