,phrase,label,sentiment,subjectivity,language,count
Hector Fort,Hector Fort,PERSON,0.13888888888888887,0.5277777777777778,en,1.8
Eder Sarabia,Eder Sarabia,PERSON,-0.25000000000000006,0.47222222222222227,en,1.8
Jeremy Clarkson,Jeremy Clarkson,PERSON,-0.5555555555555556,0.5555555555555556,en,1.8
Saimoni Vunilagi,Saimoni Vunilagi,PERSON,0.0,0.05555555555555556,en,1.8
Inas Gamal,Inas Gamal,PERSON,0.41666666666666663,0.9722222222222222,en,1.8
Pokok Sena,Pokok Sena,PERSON,0.19444444444444442,0.3055555555555556,en,1.8
Alixe Galatis,Alixe Galatis,PERSON,0.2777777777777778,0.3333333333333333,en,1.8
McFarlane Toys,McFarlane Toys,PERSON,0.0,0.0,en,1.8
Jonathan Thomas,Jonathan Thomas,PERSON,0.16486291486291488,0.42388167388167386,en,1.8
Melat Kiros,Melat Kiros,PERSON,0.2638888888888889,0.49382716049382713,en,1.8
Reimon Box,Reimon Box,PERSON,0.20370370370370372,0.5,en,1.8
Chris Dolce,Chris Dolce,PERSON,0.0,0.0,en,1.8
Theodore Keeping,Theodore Keeping,PERSON,-0.1388888888888889,1.1111111111111112,en,1.8
Kris Van Cleave,Kris Van Cleave,PERSON,0.3666666666666667,0.7999999999999999,en,1.8
William Brangham,William Brangham,PERSON,0.20833333333333331,0.4861111111111111,en,1.8
Karen Bass,Karen Bass,PERSON,0.01388888888888887,0.4305555555555556,en,1.8
Adam Carolla,Adam Carolla,PERSON,0.01388888888888887,0.4305555555555556,en,1.8
Scott Detrow,Scott Detrow,PERSON,-0.1388888888888889,1.1111111111111112,en,1.8
Taxi Driver,Taxi Driver,PERSON,0.3425925925925926,1.8425925925925926,en,1.7999999999999998
Lautaro Martinez,Lautaro Martinez,PERSON,0.7529411764705882,0.6666666666666666,en,1.7000000000000002
Ira Winderman,Ira Winderman,PERSON,-0.34313725490196084,0.6372549019607843,en,1.7
George Lee,George Lee,PERSON,0.13071895424836602,0.39215686274509803,en,1.7
