keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'+heat air condition',0.07694719479810248,0.9186278344654099,0.18770326415014535,0.897097393494292,56.0
'+heat climate change',0.009828809433692326,0.9435130710040598,0.08614151281299498,0.9454202494045547,355.0
'+heat drink',0.009154114434580118,0.8880288506181034,0.03292279299257488,0.9187806765716928,335.0
'+heat stroke',0.00401632466388513,0.9082146542057421,0.0735071465248465,0.8479765771147967,338.0
'+heat wave',-0.04742043683155126,0.9054839481741043,0.02257447012349942,0.9731966171219166,697.0
'+warm spell',0.14423291723884735,0.8470968459708339,-0.01538559379895292,0.8401663268745377,333.0
'heat air condition',0.050510442963778907,0.8824927002487272,0.05297641766708654,0.830059939892833,107.0
'heat climate change',-0.33548910896600187,1.1308843434440548,0.29419406791039254,0.9834305034498058,34.0
'heat drink',0.1169859708544827,0.7868335900787526,0.14985980142882177,0.7361679023875816,95.0
'heat stroke',-0.0031019690076918294,0.8771917366585471,0.20968290680811616,0.7857372764225958,34.0
'heat wave',-0.36554682857852283,0.7754120708435335,-0.14228556502367282,0.8802088650496894,6.0
'warm spell',0.19337002297136258,0.9597137098922094,0.14704985134004894,0.9498687570265518,32.0
veryUnusualAndNeverUsedKeyword,-0.051976877872252726,0.8018462563975706,-0.2541677113393209,1.0038589131118036,40.0
